Scientific Name,SSID,QID,WordNet Definition,Wikidata Description,Status,Accept,
Juncus bufonius,11764577-n,Q159152,low-growing annual rush of damp low-lying ground; nearly cosmopolitan,species of plant,No taxon match,TRUE,
Phacelia campanularia,12857812-n,Q161340,annual of southern California with intricately branched stems and lax cymes of aromatic deep blue bell-shaped flowers,species of plant,No taxon match,TRUE,
Rubia tinctorum,12681988-n,Q163641,Eurasian herb having small yellow flowers and red roots formerly an important source of the dye alizarin,species of plant,No taxon match,TRUE,
Beta vulgaris,11852683-n,Q165191,biennial Eurasian plant usually having a swollen edible root; widely cultivated as a food crop,species of the genus beet,No taxon match,TRUE,
Cortinarius violaceus,13096801-n,Q167887,a fungus that is violet overall with a squamulose cap,species of fungus,No taxon match,TRUE,
Pipistrellus pipistrellus,02150599-n,Q176901,small European brown bat,species of mammal,No taxon match,TRUE,
Certhia familiaris,01592534-n,Q193593,common European brown-and-buff tree creeper with down-curved bill,species of bird,No taxon match,TRUE,
Gymnogyps californianus,01622776-n,Q194314,North American condor; chiefly dull black; almost extinct,New World vulture,No taxon match,TRUE,
Sylvia curruca,01567719-n,Q206089,Old World warbler similar to the greater whitethroat but smaller,species of bird,No taxon match,TRUE,
Averrhoa bilimbi,12725273-n,Q237465,East Indian evergreen tree bearing very acid fruit,species of plant,No taxon match,TRUE,
Papio ursinus,02489288-n,Q257670,greyish baboon of southern and eastern Africa,species of baboon from the Old World monkey family,No taxon match,TRUE,
Poecile atricapillus,01594898-n,Q282687,chickadee having a dark crown,"species of small, non-migratory, North American songbird",No taxon match,TRUE,
Agave cantala,12498088-n,Q293281,Philippine plant yielding a hard fibre used in making coarse twine,species of plant,No taxon match,TRUE,
Ruvettus pretiosus,02625342-n,Q297007,very large deep-water snake mackerel,species of fish,No taxon match,TRUE,
Agave tequilana,12498488-n,Q311065,Mexican plant used especially for making tequila,species of plant,No taxon match,TRUE,
Pinus ponderosa,11634871-n,Q460523,common and widely distributed tall timber pine of western North America having dark green needles in bunches of 2 to 5 and thick bark with dark brown plates when mature,species of large pine tree in North America,No taxon match,TRUE,
Saimiri sciureus,02496710-n,Q476930,small long-tailed monkey of Central American and South America with greenish fur and black muzzle,species of mammal,No taxon match,TRUE,
Juniperus procera,11658110-n,Q577041,tropical African timber tree with fragrant wood,species of plant,No taxon match,TRUE,
Sylvilagus aquaticus,02328536-n,Q583901,a wood rabbit of southeastern United States swamps and lowlands,species of mammal,No taxon match,TRUE,
Pinus radiata,11637541-n,Q748888,"tall California pine with long needles in bunches of 3, a dense crown, and dark brown deeply fissured bark",species of plant,No taxon match,TRUE,
Fucus vesiculosus,01407891-n,Q754755,a common rockweed used in preparing kelp and as manure,species of Phaeophyceae,No taxon match,TRUE,
Pinus albicaulis,11634490-n,Q761480,small pine of western North America; having smooth grey-white bark and soft brittle wood; similar to limber pine,species of plant,No taxon match,TRUE,
Aralia stipulata,11819157-n,Q779065,similar to American angelica tree but less prickly; China,species of plant,No taxon match,TRUE,
Araucaria bidwillii,11667145-n,Q782275,Australian conifer bearing two-inch seeds tasting like roasted chestnuts; among the aborigines the tree is hereditary property protected by law,species of conifer,No taxon match,TRUE,
Neoceratodus forsteri,02519625-n,Q782345,an endangered species of lungfish found in rivers in Queensland,species of fish (Neoceratodus forsteri),No taxon match,TRUE,
Trachurus trachurus,02583461-n,Q842956,large elongated compressed food fish of the Atlantic waters of Europe,species of fish,No taxon match,TRUE,
Pinus thunbergii,11638741-n,Q854884,large Japanese ornamental having long needles in bunches of 2; widely planted in United States because of its resistance to salt and smog,species of plant,No taxon match,TRUE,
Euphausia pacifica,01991510-n,Q992625,food for jellyfish,species of crustacean,No taxon match,TRUE,
Solanum carolinense,12914753-n,Q1044376,coarse prickly weed having pale yellow flowers and yellow berrylike fruit; common throughout southern and eastern United States,species of plant,No taxon match,TRUE,
Xestobium rufovillosum,02180427-n,Q1074662,bores through wood making a ticking sound popularly thought to presage death,species of woodboring beetle,No taxon match,TRUE,
Calypso bulbosa,12070031-n,Q1141063,rare north temperate bog orchid bearing a solitary white to pink flower marked with purple at the tip of an erect reddish stalk above 1 basal leaf,species of plant,No taxon match,TRUE,
Wilsonia pusilla,01570520-n,Q1146827,yellow wood warbler with a black crown,species of bird,No taxon match,TRUE,
Origanum dictamnus,12874466-n,Q1227336,dwarf aromatic shrub of Crete,species of plant,No taxon match,TRUE,
Zanthoxylum flavum,12736168-n,Q1245313,West Indian tree with smooth lustrous and slightly oily wood,species of plant,No taxon match,TRUE,
Araucaria cunninghamii,11667406-n,Q1394414,pine of Australia and New Guinea; yields a valuable light even-textured wood,species of plant,No taxon match,TRUE,
Ascophyllum nodosum,01408257-n,Q1415896,similar to and found with black rockweed,species of alga,No taxon match,TRUE,
Phyllostomus hastatus,02145550-n,Q1548283,a variety of leaf-nosed bat,species of mammal,No taxon match,TRUE,
Lophius americanus,02550878-n,Q1755989,fishes having large mouths with a wormlike filament attached for luring prey,species of fish,No taxon match,TRUE,
Neotoma fuscipes,02342838-n,Q1763729,host to Lyme disease tick (Ixodes pacificus) in northern California,species of mammal,No taxon match,TRUE,
Neotoma floridana,02343010-n,Q1766870,large greyish-brown wood rat of the southeastern United States,species of mammal,No taxon match,TRUE,
Cercis canadensis,12534438-n,Q2452407,small shrubby tree of eastern North America similar to the Judas tree having usually pink flowers; found in damp sheltered underwood,species of plant,No taxon match,TRUE,
Lutjanus analis,02590110-n,Q2692345,similar to and often marketed as ‘red snapper’,species of fish,No taxon match,TRUE,
Pinus attenuata,11638329-n,Q2703208,medium-sized three-needled pine of the Pacific coast of the United States having a prominent knob on each scale of the cone,"species of plant, Knobcone Pine",No taxon match,TRUE,
Pinus torreyana,11638976-n,Q2746149,medium-sized five-needled pine of southwestern California having long cylindrical cones,"species of plant, Torrey pine",No taxon match,TRUE,
Euphorbia ingens,12942420-n,Q3272655,small tree of dry open parts of southern Africa having erect angled branches suggesting candelabra,species of plant,No taxon match,TRUE,
Helvella acetabulum,13056876-n,Q3388167,a helvella with a cup-shaped fertile body having a brown interior; the stalk is creamy white and heavily ribbed,species of fungus,No taxon match,TRUE,
Pinus quadrifolia,11631274-n,Q3506492,five-needled pinon of southern California and northern Baja California having (sometimes three-needled or four-needled showing hybridization from Pinus californiarum),species of plant,No taxon match,TRUE,
Caloscypha fulgens,13050370-n,Q3915690,an early spring variety of discomycete with yellow to orange yellow lining of the cup,species of fungus,No taxon match,TRUE,
Euphorbia fulgens,12942259-n,Q4301001,Mexican shrub often cultivated for its scarlet-bracted flowers,species of plant,No taxon match,TRUE,
Cercis occidentalis,12534643-n,Q5063945,shrub of western United States having pink or crimson flowers; often forms thickets,species of plant,No taxon match,TRUE,
Chloris truncata,12135287-n,Q5102964,perennial Australian grass having numerous long spikes arranged like the vanes of a windmill,species of plant,No taxon match,TRUE,
Cirsium discolor,11974814-n,Q5122056,stout North American thistle with purplish-pink flower heads,species of plant,No taxon match,TRUE,
Dicentra canadensis,11931135-n,Q5272369,American plant with cream-colored flowers and tuberous roots resembling kernels of corn,species of plant,No taxon match,TRUE,
Phyllitis scolopendrium,13203954-n,Q10956573,Eurasian fern with simple lanceolate fronds,species of plant,No taxon match,TRUE,
Achras zapota,12795401-n,Q14566626,large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras,species of plant,No taxon match,TRUE,
Podocarpus dacrydioides,11674355-n,Q14947698,New Zealand evergreen valued for its light easily worked wood,species of plant,No taxon match,TRUE,
Anthemis nobilis,11969871-n,Q15281388,Eurasian plant with apple-scented foliage and white-rayed flowers and feathery leaves used medicinally; in some classification systems placed in genus Anthemis,species of plant,No taxon match,TRUE,
Thelypteris simulata,13251088-n,Q15322601,delicate feathery shield fern of the eastern United States; sometimes placed in genus Thelypteris,species of plant,No taxon match,TRUE,
Elymus hispidus,12126651-n,Q15510647,Asiatic grass introduced into United States rangelands for pasture and fodder,species of plant,No taxon match,TRUE,
Cardamine rotundifolia,11903105-n,Q15538152,mat-forming perennial found in cold springs of the eastern United States,species of plant,No taxon match,TRUE,
Leucogenes leontopodium,12011389-n,Q15549862,perennial herb closely resembling European edelweiss; New Zealand,species of plant,No taxon match,TRUE,
Dryopteris noveboracensis,13250849-n,Q17180450,slender shield fern of moist woods of eastern North America; sometimes placed in genus Dryopteris,species of plant,No taxon match,TRUE,
Arenaria peploides,11826990-n,Q21870734,perennial succulent herb with small solitary axillary or terminal flowers,species of plant,No taxon match,TRUE,
Cassia marilandica,12520814-n,Q21872212,North American perennial herb; leaves are used medicinally; sometimes placed in genus Cassia,species of plant,No taxon match,TRUE,
Datura arborea,12920297-n,Q21873627,a South American plant that is cultivated for its large fragrant trumpet-shaped flowers,species of plant,No taxon match,TRUE,
Dolichos lignosus,12547586-n,Q21873845,South African evergreen partly woody vine grown for its clusters of rosy purple flowers followed by edible pods like snap beans; also grown as green manure; sometimes placed in genus Dolichos,species of plant,No taxon match,TRUE,
Gentiana quinquefolia,12316313-n,Q21874320,gentian of eastern North America having clusters of bristly blue flowers,species of plant,No taxon match,TRUE,
Lycopodium complanatum,13244486-n,Q21976241,"a variety of club moss, with the common names Creeping Jenny or Northern Running-pine (Lycopodium complanatum)",species of plant,No taxon match,TRUE,
Papaver heterophyllum,11929018-n,Q25407894,California wild poppy with bright red flowers,species of plant,No taxon match,TRUE,
Lychnis alba,11836805-n,Q38619308,bluish-green herb having sticky stems and clusters of large evening-opening white flowers with much-inflated calyx; sometimes placed in genus Lychnis,species of plant,No taxon match,TRUE,
Chrysanthemum lacustre,12011096-n,Q38754530,perennial of Portugal similar to the oxeye daisy,species of plant,No taxon match,TRUE,
Castanea chrysophylla,12285303-n,Q38938694,small ornamental evergreen tree of Pacific Coast whose glossy yellow-green leaves are yellow beneath; bears edible nuts,species of plant,No taxon match,TRUE,
Genista raetam,12587995-n,Q39157123,desert shrub of Syria and Arabia having small white flowers; constitutes the juniper of the Old Testament; sometimes placed in genus Genista,species of plant,No taxon match,TRUE,
Arundo richardii,12135900-n,Q39543786,tall grass of New Zealand grown for plumelike flower heads,species of plant,No taxon match,TRUE,
Datura sanguinea,12920731-n,Q39929581,arborescent South American shrub having very large orange-red flowers,species of plant,No taxon match,TRUE,
Desmodium gyrans,12538518-n,Q50831300,erect tropical Asian shrub whose small lateral leaflets rotate on their axes and jerk up and down under the influence of sunshine,species of plant,No taxon match,TRUE,
Galtonia candicans,12479379-n,Q50841059,southern African herb with white bell-shaped flowers,species of plant,No taxon match,TRUE,
Tilapia nilotica,02588869-n,Q106405737,important food fish of the Nile and other rivers of Africa and Asia Minor,species of fish,No taxon match,TRUE,
Ophrys muscifera,12095511-n,Q109482865,European orchid whose flowers resemble flies,,No taxon match,TRUE,
Bletia striata,12067284-n,Q109509453,Japanese orchid with white-striped leaves and slender erect racemes of rose to magenta flowers; often cultivated; sometimes placed in genus Bletia,,No taxon match,TRUE,
Cacalia lutea,11983774-n,Q109686363,tropical African annual having scarlet tassel-shaped flower heads; sometimes placed in genus Cacalia,,No taxon match,TRUE,
Arenaria stricta,11827148-n,Q110415161,low perennial tufted plant of southeastern North America,,No taxon match,TRUE,
Rhus quercifolia,12788183-n,Q111040037,poisonous shrub of southeastern United States causing a rash on contact,,No taxon match,TRUE,
Peltiphyllum peltatum,12818128-n,Q111044344,rhizomatous perennial herb with large dramatic peltate leaves and white to bright pink flowers in round heads on leafless stems; colonizes stream banks in the Sierra Nevada in California,,No taxon match,TRUE,
Viverricula malaccensis,02138496-n,Q125705855,a common civet of southeast Asia,species of mammal,No taxon match,TRUE,
Hygrophorus sordidus,13093466-n,Q127326824,an edible fungus with a large white cap and a dry stalk and white gills,,No taxon match,TRUE,
Sylvia communis,01567555-n,Q26974,greyish-brown Old World warbler with a white throat and underparts,species of bird,No taxon match,TRUE,
Lepus americanus,02330494-n,Q81063,large large-footed North American hare; white in winter,species of mammal,No taxon match,TRUE,
Cuminum cyminum,12957586-n,Q132624,dwarf Mediterranean annual long cultivated for its aromatic seeds,species of plant,No taxon match,TRUE,
Origanum vulgare,12874047-n,Q134283,aromatic Eurasian perennial,species of flowering plant,No taxon match,TRUE,
Bradypus tridactylus,02460039-n,Q142715,a sloth that has three long claws on each forefoot and each hindfoot,species of mammal,No taxon match,TRUE,
Chlorophyllum molybdites,13033733-n,Q146693,a poisonous agaric with a fibrillose cap and brown scales on a white ground color; cap can reach a diameter of 30 cm; often forms ‘fairy rings’,species of fungus,No taxon match,TRUE,
Pinus cembra,11632469-n,Q147278,large five-needled European pine; yields cembra nuts and a resinous exudate,"species of plant, Swiss pine",No taxon match,TRUE,
Holcus lanatus,12143242-n,Q158110,tall European perennial grass having a velvety stem; naturalized in United States and used for forage,species of plant,No taxon match,TRUE,
Arabidopsis thaliana,11891965-n,Q158695,a small invasive self-pollinating weed with small white flowers; much studied by plant geneticists; the first higher plant whose complete genome sequence was described,species of plant,No taxon match,TRUE,
Agave sisalana,12497906-n,Q159221,Mexican or West Indian plant with large fleshy leaves yielding a stiff fiber used in e.g. rope,species of plant,No taxon match,TRUE,
Averrhoa carambola,12725103-n,Q159447,East Indian tree bearing deeply ridged yellow-brown fruit,species of plant,No taxon match,TRUE,
Araucaria heterophylla,11666795-n,Q161070,evergreen of Australia and Norfolk Island in the South Pacific,species of plant,No taxon match,TRUE,
Egeria densa,12635524-n,Q163649,aquatic plant with deep green foliage useful to oxygenate an aquarium; sometimes placed in genus Egeria,species of plant,No taxon match,TRUE,
Metroxylon sagu,12612463-n,Q164088,Malaysian palm whose pithy trunk yields sago — a starch used as a food thickener and fabric stiffener; Malaya to Fiji,species of plant,No taxon match,TRUE,
Pinus contorta,11635477-n,Q165091,shrubby two-needled pine of coastal northwestern United States; red to yellow-brown bark fissured into small squares,species of plant,No taxon match,TRUE,
Picea engelmannii,11645842-n,Q165387,tall spruce of Rocky Mountains and British Columbia with blue-green needles and acutely conic crown; wood used for rough lumber and boxes,species of evergreen spruce tree,No taxon match,TRUE,
Chaetodipus hispidus,02352209-n,Q167053,large stiff-haired rodent of shortgrass prairies of United States,species of mammal,No taxon match,TRUE,
Lepus arcticus,02330308-n,Q231625,a large hare of northern North America; it is almost completely white in winter,species of mammal,No taxon match,TRUE,
Libocedrus bidwillii,11659896-n,Q255029,evergreen tree of New Zealand resembling the kawaka,species of plant,No taxon match,TRUE,
Malpighia glabra,12715247-n,Q273742,tropical American shrub bearing edible acid red fruit resembling cherries,species of plant,No taxon match,TRUE,
Mammillaria plumosa,11870452-n,Q283486,a low tuberculate cactus with white feathery spines; northeastern Mexico,species of plant,No taxon match,TRUE,
Eptesicus fuscus,02149825-n,Q301254,rather large North American brown bat; widely distributed,species of mammal,No taxon match,TRUE,
Albatrellus ovinus,13071700-n,Q331465,a fungus with a whitish often circular cap and a white pore surface and small pores and a white central stalk; found under conifers; edible but not popular,species of fungus,No taxon match,TRUE,
Afropavo congensis,01806282-n,Q338996,both sexes are brightly colored,species of bird,No taxon match,TRUE,
Lithospermum officinale,12841429-n,Q515267,European perennial branching plant; occurs in hedgerows and at the edge of woodlands,species of plant,No taxon match,TRUE,
Tsuga mertensiana,11648359-n,Q593894,large evergreen of western United States; wood much harder than Canadian hemlock,species of plant,No taxon match,TRUE,
Argemone mexicana,11923451-n,Q683404,annual herb with prickly stems and large yellow flowers; southern United States to West Indies and Mexico,species of plant,No taxon match,TRUE,
Setophaga ruticilla,01570935-n,Q922772,flycatching warbler of eastern North America the male having bright orange on sides and wings and tail,species of bird,No taxon match,TRUE,
Ploceus philippinus,01545816-n,Q1319774,common Indian weaverbird,species of bird,No taxon match,TRUE,
Corydalis sempervirens,11924946-n,Q1478395,glaucous herb of northeastern United States and Canada having loose racemes of yellow-tipped pink flowers; sometimes placed in genus Fumaria,species of plant,No taxon match,TRUE,
Lepista irina,13042449-n,Q1634310,an edible agaric with large silky white caps and thick stalks,species of fungus,No taxon match,TRUE,
Synaptomys borealis,02348822-n,Q1762848,of wet alpine and subalpine meadows of Canada and Alaska,species of mammal,No taxon match,TRUE,
Lassa virus,01333493-n,Q1806636,the RNA virus that causes Lassa fever,species of virus,No taxon match,TRUE,
Lithobates pipiens,01644032-n,Q1819586,common North American green or brownish frog having white-edged dark oval spots,species of amphibian,No taxon match,TRUE,
Notropis atherinoides,01444383-n,Q1979063,small blunt-nosed fish of Great Lakes and Mississippi valley with a greenish luster,species of fish,No taxon match,TRUE,
Gobiesox strumosus,02638411-n,Q2123495,clingfish with typical skillet shape,species of fish,No taxon match,TRUE,
Mercenaria mercenaria,01960679-n,Q2279087,an edible American clam; the heavy shells were used as money by some American Indians,species of mollusc,No taxon match,TRUE,
Plectranthus amboinicus,12865947-n,Q2359202,an aromatic fleshy herb of India and Ceylon to South Africa; sometimes placed in genus Plectranthus,species of plant,No taxon match,TRUE,
Salsola soda,11855123-n,Q2713171,bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash,species of plant,No taxon match,TRUE,
Callitris endlicheri,11654450-n,Q2934277,Australian tree with small flattened scales as leaves and numerous dark brown seed; valued for its timber and resin,species of plant,No taxon match,TRUE,
Galiella rufa,13052083-n,Q3094735,the cup-shaped fruiting body of this discomycete has a jellylike interior and a short stalk,species of fungus,No taxon match,TRUE,
Pinus virginiana,11637303-n,Q3505749,common small shrubby pine of the eastern United States having straggling often twisted or branches and short needles in bunches of 2,species of plant,No taxon match,TRUE,
Hypentelium nigricans,01448498-n,Q3764682,widely distributed in warm clear shallow streams,species of fish,No taxon match,TRUE,
Calostoma lutescens,13062703-n,Q4239132,a gasteromycete with a leathery stalk and a fruiting body that is globose and has a pale yellow spore case,species of fungus,No taxon match,TRUE,
Lithobates tarahumarae,01645032-n,Q4666261,Mexican frog found within a jump or two of water,species of amphibian,No taxon match,TRUE,
Macrozamia spiralis,11624497-n,Q5472958,large attractive palmlike evergreen cycad of New South Wales,species of plant,No taxon match,TRUE,
Gentiana andrewsii,12314848-n,Q5533615,gentian of eastern North America having tubular blue or white flowers that open little if at all,species of plant,No taxon match,TRUE,
Helianthus angustifolius,11999020-n,Q12212025,sunflower of eastern North America having narrow leaves and found in bogs,species of plant,No taxon match,TRUE,
Setaria glauca,12155353-n,Q12212708,common weedy and bristly grass found in nearly all temperate areas,species of plant,No taxon match,TRUE,
Anguillula aceti,01934792-n,Q14509808,minute eelworm that feeds on organisms that cause fermentation in e.g. vinegar,species of worm,No taxon match,TRUE,
Thuja orientalis,11664913-n,Q15041676,Asiatic shrub or small tree widely planted in United States and Europe; in some classifications assigned to its own genus,species of plant,No taxon match,TRUE,
Libocedrus decurrens,11655187-n,Q15042665,tall tree of the Pacific coast of North America having foliage like cypress and cinnamon-red bark,species of plant,No taxon match,TRUE,
Centaurea moschata,11939277-n,Q15568614,Asian plant widely grown for its sweetly fragrant pink flowers; sometimes placed in genus Centaurea,,No taxon match,TRUE,
Eriogonum allenii,12623195-n,Q15592785,late blooming perennial plant of shale barrens of Virginia having flowers in flat-topped clusters,species of plant,No taxon match,TRUE,
Sedum telephium,12807224-n,Q13390371,perennial northern temperate plant with toothed leaves and heads of small purplish-white flowers,species of plant,No taxon match,TRUE,
Dryopteris hexagonoptera,13251741-n,Q17171921,beech fern of North American woodlands having straw-colored stripes,species of plant,No taxon match,TRUE,
Crocanthemum canadense,12396286-n,Q17570193,perennial of the eastern United States having early solitary yellow flowers followed by late petalless flowers; so-called because ice crystals form on it during first frosts,species of plant,No taxon match,TRUE,
Heritiera trifoliolata,12220307-n,Q17574079,large tree of Australasia,species of plant,No taxon match,TRUE,
Eriophyllum wallacei,11944483-n,Q19848810,tiny grey woolly tufted annual with small golden-yellow flower heads; southeastern California to northwestern Arizona and southwestern Utah; sometimes placed in genus Eriophyllum,species of plant,No taxon match,TRUE,
Fumaria claviculata,11924743-n,Q21874299,annual vine with decompound leaves and racemes of yellow and pink flowers,species of plant,No taxon match,TRUE,
Fumaria sempervirens,11924946-n,Q21874304,glaucous herb of northeastern United States and Canada having loose racemes of yellow-tipped pink flowers; sometimes placed in genus Fumaria,species of plant,No taxon match,TRUE,
Poinciana pulcherrima,12510559-n,Q21876383,tropical shrub or small tree having showy yellow to orange-red flowers; sometimes placed in genus Poinciana,species of plant,No taxon match,TRUE,
Lycopodium alpinum,13243883-n,Q21976234,a variety of club moss which occurs throughout northern latitudes in the Northern Hemisphere (Lycopodium alpinum),species of plant,No taxon match,TRUE,
Dryophytes arenicolor,01653700-n,Q32344826,a small chiefly ground dweller that stays within easy jumping distance of water; of United States southwest and northern Mexico,species of Amphibia,No taxon match,TRUE,
Phacelia whitlavia,12858019-n,Q38540511,desert plant of southern California with blue or violet tubular flowers in terminal racemes,species of plant,No taxon match,TRUE,
Chrysanthemum coccineum,12042523-n,Q38784280,spring-flowering garden perennial of Asiatic origin having finely divided aromatic leaves and white to pink-purple flowers; source of an insecticide; sometimes placed in genus Chrysanthemum,species of plant,No taxon match,TRUE,
Gentiana detonsa,12317446-n,Q38999563,medium-tall fringed gentian with pale-blue to blue-purple flowers; circumboreal in distribution,species of plant,No taxon match,TRUE,
Sphacele calycina,12872620-n,Q39079747,California plant with woolly stems and leaves and large white flowers,species of plant,No taxon match,TRUE,
Phaseolus aconitifolius,12597867-n,Q39183686,East Indian legume having hairy foliage and small yellow flowers followed by cylindrical pods; used especially in India for food and forage and as a soil conditioner; sometimes placed in genus Phaseolus,species of plant,No taxon match,TRUE,
Epidendrum tampense,12081881-n,Q39345070,orchid of Florida and the Bahamas having showy brightly colored flowers; sometimes placed in genus Epidendrum,species of plant,No taxon match,TRUE,
Mitrula elegans,13049882-n,Q49550443,a discomycete that is 3-8 cm high with an orange to yellow fertile portion and white or pinkish stalks often half in and half out of the water,species of fungus,No taxon match,TRUE,
Bufo calamita,01649289-n,Q50407495,common brownish-yellow short-legged toad of western Europe; runs rather than hops,species of amphibian,No taxon match,TRUE,
Clianthus formosus,12537333-n,Q50828612,sprawling shrubby perennial noted for its scarlet black-marked flowers; widely distributed in dry parts of Australia,species of plant,No taxon match,TRUE,
Musa ensete,12374271-n,Q50844383,large evergreen arborescent herb having huge paddle-shaped leaves and bearing inedible fruit that resemble bananas but edible young flower shoots; sometimes placed in genus Musa,species of plant,No taxon match,TRUE,
Nephelium longana,12764112-n,Q50848953,tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium,species of plant,No taxon match,TRUE,
Sterculia rupestris,12217471-n,Q65949628,large tree of Queensland having cream-colored flowers blotched with red inside; sometimes placed in genus Sterculia,,No taxon match,TRUE,
Sphaeralcea remota,12201869-n,Q110127213,a rare mallow found only in Illinois resembling the common hollyhock and having pale rose-mauve flowers; sometimes placed in genus Sphaeralcea,,No taxon match,TRUE,
Arenaria groenlandica,11826688-n,Q110414985,boreal or alpine sandwort,,No taxon match,TRUE,
Scilla nonscripta,12479780-n,Q113251901,sometimes placed in genus Scilla,species of plant,No taxon match,TRUE,
Zea mays,12164193-n,Q11575,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times,species of grass cultivated as a food crop,No taxon match,TRUE,
Manilkara zapota,12795401-n,Q14959,large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras,evergreen tree,No taxon match,TRUE,
Phoenix dactylifera,12614755-n,Q25292,tall tropical feather palm tree native to Syria bearing sweet edible fruit,palm tree cultivated for its edible sweet fruit,No taxon match,TRUE,
Lepus europaeus,02329514-n,Q26838,large hare introduced in North America; does not turn white in winter,species of mammal,No taxon match,TRUE,
Lobatus gigas,01946759-n,Q62603,a large variety of conch,species of mollusc,No taxon match,TRUE,
Mus musculus,02334808-n,Q83310,brownish-grey Old World mouse now a common household pest worldwide,species of mammal,No taxon match,TRUE,
Lens culinaris,12564745-n,Q131226,widely cultivated Eurasian annual herb grown for its edible flattened seeds that are cooked like peas and also ground into meal and for its leafy stalks that are used as fodder,species of plant,No taxon match,TRUE,
Lota lota,02526058-n,Q144700,elongate freshwater cod of northern Europe and Asia and North America having barbels around its mouth,species of fish,No taxon match,TRUE,
Didelphis virginiana,01877954-n,Q147267,omnivorous opossum of the eastern United States; noted for feigning death when in danger; esteemed as food in some areas; considered same species as the crab-eating opossum of South America,species of mammal,No taxon match,TRUE,
Vaccinium macrocarpon,12266402-n,Q149397,trailing red-fruited plant,species of plant,No taxon match,TRUE,
Oenothera biennis,12365000-n,Q157353,a coarse biennial of eastern North America with yellow flowers that open in the evening; naturalized in Europe,species of plant,No taxon match,TRUE,
Ophrys insectifera,12095511-n,Q158927,European orchid whose flowers resemble flies,"species of plant, fly orchid",No taxon match,TRUE,
Adansonia gregorii,12210296-n,Q159165,Australian tree having an agreeably acid fruit that resembles a gourd,species of plant,No taxon match,TRUE,
Kniphofia uvaria,12458274-n,Q159203,clump-forming plant of South Africa with spikes of scarlet flowers,species of plant,No taxon match,TRUE,
Ceratotherium simum,02395476-n,Q159918,large light-grey African rhinoceros having two horns; endangered; sometimes placed in genus Diceros,species of mammal,No taxon match,TRUE,
Melilotus officinalis,11771816-n,Q161160,biennial yellow-flowered Eurasian plant having aromatic leaves used as carminative or flavoring agent; widely cultivated especially as green manure or cover crop,species of plant,No taxon match,TRUE,
Carduelis spinus,01534153-n,Q168881,small yellow-and-black Eurasian finch with a sharp beak,species of bird,No taxon match,TRUE,
Hemachatus haemachatus,01751885-n,Q169936,highly venomous snake of southern Africa able to spit venom up to seven feet,species of reptile,No taxon match,TRUE,
Mustelus mustelus,01495210-n,Q260097,smooth dogfish of European coastal waters,species of shark (Mustelus mustelus),No taxon match,TRUE,
Yucca baccata,12503173-n,Q284896,tall yucca of the southwestern United States and Mexico having a woody stem and stiff swordlike pointed leaves and a large cluster of white flowers,species of plant,No taxon match,TRUE,
Anaxyrus canorus,01649821-n,Q302397,of high Sierra Nevada meadows and forest borders,species of amphibian,No taxon match,TRUE,
Phacelia minor,12858019-n,Q428718,desert plant of southern California with blue or violet tubular flowers in terminal racemes,species of plant,No taxon match,TRUE,
Ochotona princeps,02331472-n,Q469908,North American pika,species of mammal,No taxon match,TRUE,
Pinus glabra,11631538-n,Q539249,large two-needled pine of southeastern United States with light soft wood,species of plant,No taxon match,TRUE,
Pteropus hypomelanus,02142920-n,Q583116,"a variety of fruit bat, known as the small flying fox, island flying fox or variable flying fox (Pteropus hypomelanus)",species of mammal,No taxon match,TRUE,
Melastoma malabathricum,12369832-n,Q722767,evergreen spreading shrub of India and southeastern Asia having large purple flowers,species of plant,No taxon match,TRUE,
Pipistrellus hesperus,02150897-n,Q786179,a vespertilian bat of western North America,species of mammal,No taxon match,TRUE,
Solanum quitoense,12917878-n,Q795069,small perennial shrub cultivated in uplands of South America for its edible bright orange fruits resembling tomatoes or oranges,species of plant,No taxon match,TRUE,
Tetraclinis articulata,11663473-n,Q918555,large coniferous evergreen tree of North Africa and Spain having flattened branches and scalelike leaves yielding a hard fragrant wood; bark yields a resin used in varnishes,species of plant,No taxon match,TRUE,
Sarcoscypha coccinea,13050086-n,Q937345,a discomycete that is a harbinger of spring; the fruiting body is thin and tough and saucer-shaped (about the size of quarter to a half dollar) with a deep bright red upper surface and a whitish exterior,species of fungus,No taxon match,TRUE,
Sigmodon hispidus,02341374-n,Q941564,destructive long-haired burrowing rat of southern North America and Central America,species of mammal,No taxon match,TRUE,
Neotoma cinerea,02342574-n,Q1017409,any of several bushy-tailed rodents of the genus Neotoma of western North America; hoards food and other objects,species of mammal,No taxon match,TRUE,
Rubus caesius,12676487-n,Q1033449,creeping European bramble bearing dewberries,species of plant,No taxon match,TRUE,
Artemia salina,01998340-n,Q1135229,common to saline lakes,species of crustacean,No taxon match,TRUE,
Kniphofia praecox,12458435-n,Q1337550,widely cultivated hybrid poker plant,species of plant,No taxon match,TRUE,
