Language,WordNet SSID,Wikidata QID,WordNet Definition,Wikidata Definition,Exact,Accept,Wikidata
"Miri, Mirish, Abor, Dafla, Dafla language, Mirish language, Miri language, Abor language",https://en-word.net/id/oewn-06946601-n,https://www.wikidata.org/entity/Q56440,little known Kamarupan languages,language in India,Multiple,FALSE,https://www.wikidata.org/wiki/Q3217538
"Miri, Mirish, Abor, Dafla, Dafla language, Mirish language, Miri language, Abor language",https://en-word.net/id/oewn-06946601-n,https://www.wikidata.org/entity/Q56870,little known Kamarupan languages,language of India,Multiple,FALSE,
"Karen, Karenic, Karenic language, Karen language",https://en-word.net/id/oewn-06944907-n,https://www.wikidata.org/entity/Q1364815,the Tibeto-Burman language spoken in the Thailand and Burmese borderlands,language family,Multiple,TRUE,
"Karen, Karenic, Karenic language, Karen language",https://en-word.net/id/oewn-06944907-n,https://www.wikidata.org/entity/Q56410,the Tibeto-Burman language spoken in the Thailand and Burmese borderlands,language,Multiple,FALSE,
"Lolo-Burmese, Burmese-Yi, Burmese-Yi language, Lolo-Burmese language",https://en-word.net/id/oewn-06945042-n,https://www.wikidata.org/entity/Q1635712,the Tibeto-Burman language spoken in northern Burma and Yunnan,language family,Exact,TRUE,
"Burmese, Burmese language",https://en-word.net/id/oewn-06945212-n,https://www.wikidata.org/entity/Q9228,the official language of Burma,Sino-Tibetan language of Myanmar,Exact,TRUE,
"Loloish, Loloish language",https://en-word.net/id/oewn-06945314-n,https://www.wikidata.org/entity/Q37035,languages spoken by hill tribes in northern Burma and neighboring areas,Family of fifty to a hundred Sino-Tibetan languages,Exact,TRUE,
"Lisu, Lisu language",https://en-word.net/id/oewn-06945511-n,https://www.wikidata.org/entity/Q56480,"a Loloish language spoken in West Yunnan Province, 11 prefectures, 63 counties, upper reaches of Salween and Mekong rivers, as well as Sichuan Province, southwest Liangshan prefecture",Tibeto-Burman language,Exact,TRUE,
"Hani, Akha, Hani language, Akha language",https://en-word.net/id/oewn-06945580-n,https://www.wikidata.org/entity/Q56643,"a Loloish language, spoken in South Yunnan Province, Jingdong and Jinggu counties, Yuanjiang and Lancang (Mekong) river basins, Ailao mountains",language of the Akha people,Multiple,TRUE,
"Hani, Akha, Hani language, Akha language",https://en-word.net/id/oewn-06945580-n,https://www.wikidata.org/entity/Q56516,"a Loloish language, spoken in South Yunnan Province, Jingdong and Jinggu counties, Yuanjiang and Lancang (Mekong) river basins, Ailao mountains",language,Multiple,FALSE,split
"Hani, Akha, Hani language, Akha language",https://en-word.net/id/oewn-06945580-n,https://www.wikidata.org/entity/Q17004185,"a Loloish language, spoken in South Yunnan Province, Jingdong and Jinggu counties, Yuanjiang and Lancang (Mekong) river basins, Ailao mountains",language group,Multiple,FALSE,
"Hani, Akha, Hani language, Akha language",https://en-word.net/id/oewn-06945580-n,https://www.wikidata.org/entity/Q25494650,"a Loloish language, spoken in South Yunnan Province, Jingdong and Jinggu counties, Yuanjiang and Lancang (Mekong) river basins, Ailao mountains",,Multiple,FALSE,
"Lahu, Lahu language",https://en-word.net/id/oewn-06945656-n,https://www.wikidata.org/entity/Q35780,"a Loloish language spoken in Southwest Yunnan Province, Simao prefecture, Lancang Lahu, Menglian Dai, Lahu, and Va autonomous counties, as well as Lincang prefecture, Gengma Dai, and Va autonomous counties",language,Exact,TRUE,
"Lolo, Yi, Lolo language, Yi language",https://en-word.net/id/oewn-06945725-n,https://www.wikidata.org/entity/Q34235,"a Loloish language, spoken by the Yi or Lolo people in China, Vietnam and Thailand",the prestige language of the Yi people,Multiple,FALSE,doesn't exist
"Lolo, Yi, Lolo language, Yi language",https://en-word.net/id/oewn-06945725-n,https://www.wikidata.org/entity/Q11006056,"a Loloish language, spoken by the Yi or Lolo people in China, Vietnam and Thailand",language,Multiple,FALSE,
"Lolo, Yi, Lolo language, Yi language",https://en-word.net/id/oewn-06945725-n,https://www.wikidata.org/entity/Q2600390,"a Loloish language, spoken by the Yi or Lolo people in China, Vietnam and Thailand",language,Multiple,FALSE,
"Lolo, Yi, Lolo language, Yi language",https://en-word.net/id/oewn-06945725-n,https://www.wikidata.org/entity/Q8641,"a Loloish language, spoken by the Yi or Lolo people in China, Vietnam and Thailand",High German-derived language used by Ashkenazi Jews,Multiple,FALSE,
"Kachin, Kachinic, Kachin language, Kachinic language",https://en-word.net/id/oewn-06945799-n,https://www.wikidata.org/entity/Q33332,Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India,Sal Tibeto-Burman language,Exact,TRUE,
"Jinghpo, Jinghpaw, Chingpo, Chingpo language, Jinghpaw language, Jinghpo language",https://en-word.net/id/oewn-06945962-n,https://www.wikidata.org/entity/Q33332,a Kachinic language,Sal Tibeto-Burman language,Exact,TRUE,
"Kadai, Kam-Tai, Kadai language",https://en-word.net/id/oewn-06946909-n,https://www.wikidata.org/entity/Q7679471,a family of Sino-Tibetan languages spoken in southeastern Asia,language in North Maluku,Exact,FALSE,https://www.wikidata.org/wiki/Q34171
Kam-Sui,https://en-word.net/id/oewn-06947086-n,,a group of Kadai languages,,None,FALSE,https://www.wikidata.org/wiki/Q1023641
Tai,https://en-word.net/id/oewn-06947166-n,https://www.wikidata.org/entity/Q3075144,the most widespread and best known of the Kadai family of languages,language,Multiple,FALSE,
Tai,https://en-word.net/id/oewn-06947166-n,https://www.wikidata.org/entity/Q7675861,the most widespread and best known of the Kadai family of languages,Kalam language spoken in Papua New Guinea,Multiple,FALSE,
Tai,https://en-word.net/id/oewn-06947166-n,https://www.wikidata.org/entity/Q749720,the most widespread and best known of the Kadai family of languages,branch of the Kra–Dai language family,Multiple,TRUE,
White Tai,https://en-word.net/id/oewn-06947625-n,https://www.wikidata.org/entity/Q7675751,"a branch of the Tai languages, spoken in the north, mainly along Red and Black rivers, Lai Chau, Dien Bien, Lao Cai, and Son La provinces; some in the south, Lam Dòng Province, Tung Nghia",Tai language,Exact,TRUE,
Red Tai,https://en-word.net/id/oewn-06947710-n,https://www.wikidata.org/entity/Q7675773,"a branch of the Tai languages, spoken in Kachin State, from Myitkyina to Bamaw township, and Sagaing Region, Homalin township, along the Irrawaddy, Chindwin, and Uru rivers",language,Exact,TRUE,
"Tai Dam, Black Tai",https://en-word.net/id/oewn-06947793-n,https://www.wikidata.org/entity/Q56407,"a branch of the Tai languages, spoken in the north, along Red and Black rivers, Son La, Dien Bien, Yen Bai, Lai Chau, Lao Cai, and Phu Tho provinces, south, Lam Dong Province, Tung Nghia, Dac Lak Province, Tho Thanh, Gia Lai Province, Pleiku","Tai language spoken by the Tai Dam in Vietnam, Laos, Thailand, and China",Exact,TRUE,
"Tai Nuea, Chinese Shan, Dehong Dai",https://en-word.net/id/oewn-06947888-n,,"a branch of the Tai languages, spoken in Southwest Yunnan Province, Dehong Dai and Jingpo autonomous prefectures, Baoshan, Simao, and Lincang municipal prefectures",,None,FALSE,https://www.wikidata.org/wiki/Q36556
"Tai Long, Shan",https://en-word.net/id/oewn-06948000-n,https://www.wikidata.org/entity/Q56482,"a branch of the Tai languages, spoken in Louangphabang Province","Kra-Dai language mainly spoken in Shan State, Myanmar",Multiple,FALSE,
"Tai Long, Shan",https://en-word.net/id/oewn-06948000-n,https://www.wikidata.org/entity/Q13018630,"a branch of the Tai languages, spoken in Louangphabang Province",language,Multiple,TRUE,
"Tai Lue, Xishuangbanna Dai",https://en-word.net/id/oewn-06948091-n,https://www.wikidata.org/entity/Q36948,"a branch of the Tai languages, spoken in Southern Yunnan Province, Xishuangbanna Dai autonomous prefecture, 3 counties: Jinghong (Chiang Hung, Chien Rung), Menghai, and Mengla, also a few in Simao municipal prefecture, Jiangcheng Hani and Yi Autonomous counties",language,Exact,TRUE,
"Tai Yuan, Kam Muang",https://en-word.net/id/oewn-06948194-n,https://www.wikidata.org/entity/Q565110,"a branch of the Tai languages, spoken in Chiang Mai, Chiang Rai, Lamphun, Lampang, Mae Hong Son, Sukhothai, Nan, Phayao, Phrae, Uttaradit, Tak, and Kamphaeng Phet provinces",language,Exact,TRUE,
Khuen,https://en-word.net/id/oewn-06948290-n,https://www.wikidata.org/entity/Q13018596,"a branch of the Tai languages, spoken in Loungnamtha Province, Nale, Sing, and Viangphoukha districts, near the Lamet language area",language,Exact,TRUE,
"Lao, Lao language",https://en-word.net/id/oewn-06948371-n,https://www.wikidata.org/entity/Q9211,the Tai language of a Buddhist people living in the area of the Mekong River in Thailand and Laos,Kra–Dai language of Southeast Asia,Exact,TRUE,
Khamti,https://en-word.net/id/oewn-06948518-n,https://www.wikidata.org/entity/Q3915502,"a branch of the Tai languages, spoken in Kachin State, Putao district and Myitkyina area, north Sagaing Region",Kra–Dai language spoken in Myanmar and India,Exact,TRUE,
Southern Tai,https://en-word.net/id/oewn-06948600-n,,"a branch of the Tai languages, spoken in Surat Thani, Chumphon, Nakhon Si Thammarat, Songkhla, Phatthalung, Ranong, Phangnga, Phuket, Krabi, Trang, Prachuap Khiri Khan, Pattani, Yala, and Satun provinces",,None,FALSE,https://www.wikidata.org/wiki/Q56508
Tay,https://en-word.net/id/oewn-06948688-n,https://www.wikidata.org/entity/Q2511476,"a branch of the Tai languages, spoken in central and northeast Vietnam, near China border, Cao Bang, Lang Son, Bac Giang, Bac Kan, Thai Nguyen, Ha Giang, Tuyen Quang, Yen Bai, and Hai Duong provinces, Bac Thai, Quang Ninh, Ha Bac, south in Lam Dong Province,Tung Nghia and Song Mao and possibly in Laos",Tai language of Vietnam,Multiple,TRUE,
Tay,https://en-word.net/id/oewn-06948688-n,https://www.wikidata.org/entity/Q715766,"a branch of the Tai languages, spoken in central and northeast Vietnam, near China border, Cao Bang, Lang Son, Bac Giang, Bac Kan, Thai Nguyen, Ha Giang, Tuyen Quang, Yen Bai, and Hai Duong provinces, Bac Thai, Quang Ninh, Ha Bac, south in Lam Dong Province,Tung Nghia and Song Mao and possibly in Laos",Austronesian language spoken in Taiwan,Multiple,FALSE,
Nung,https://en-word.net/id/oewn-06948767-n,https://www.wikidata.org/entity/Q2748232,"a branch of the Tai languages, spoken in the north, mainly Cao Bang, Lang Son, Bac Kan, Tuyen Quang, Ha Giang, Lao Cai and Thai Nguyen provinces, possibly in Ho Chi Minh City and other sothern locations",Sino-Tibetan language spoken in China,Multiple,FALSE,
Nung,https://en-word.net/id/oewn-06948767-n,https://www.wikidata.org/entity/Q72695,"a branch of the Tai languages, spoken in the north, mainly Cao Bang, Lang Son, Bac Kan, Tuyen Quang, Ha Giang, Lao Cai and Thai Nguyen provinces, possibly in Ho Chi Minh City and other sothern locations",Tai language spoken in Vietnam,Multiple,TRUE,
Tho,https://en-word.net/id/oewn-06948847-n,https://www.wikidata.org/entity/Q22694631,"a branch of the Tai languages, spoken in North Nghe An Province, highland areas, Cuoi Cham dialect in Tan Ky district, Tan Hop commune, also in Thanh Hoa Province",Austro-Asiatic language,Multiple,FALSE,
Tho,https://en-word.net/id/oewn-06948847-n,https://www.wikidata.org/entity/Q2511476,"a branch of the Tai languages, spoken in North Nghe An Province, highland areas, Cuoi Cham dialect in Tan Ky district, Tan Hop commune, also in Thanh Hoa Province",Tai language of Vietnam,Multiple,TRUE,
"Thai, Siamese, Central Thai",https://en-word.net/id/oewn-06948926-n,https://www.wikidata.org/entity/Q9217,"a branch of the Tai languages, spoken in central Thailand, centered in Bangkok",Tai language,Exact,TRUE,
"Bouyei, Buyi",https://en-word.net/id/oewn-06949067-n,https://www.wikidata.org/entity/Q35100,"a branch of the Tai languages, spoken in South and southwest Guizhou Province, Guizhou-Yunnan plateau, mainly Buyi-Miao and Miao-Dong autonomous prefectures, Zhenning and Guanling counties; Yunnan Province, Luoping county, Sichuan Province, Ningnan and Huidong counties",language,Exact,TRUE,
Zhuang,https://en-word.net/id/oewn-06949156-n,https://www.wikidata.org/entity/Q13216,a branch of the Tai languages spoken by the Zhuang people; used in southern China,any of various Tai languages used by the Zhuang people,Exact,TRUE,
Yay,https://en-word.net/id/oewn-06949238-n,,"a branch of the Tai languages; spoken by the Bouyei people of the province of southern Guizhou, China",,None,FALSE,merge with Bouyei
Saek,https://en-word.net/id/oewn-06949317-n,https://www.wikidata.org/entity/Q36437,"a branch of the Tai languages, spoken in a central area, near Viet Nam border; Khammouan Province, Upper Nam Noy and Nam Pheo areas; Bolikhamxai Province, Khamkeut district, Na Kadok village",language,Exact,TRUE,
"Austro-Asiatic, Austro-Asiatic language, Munda-Mon-Khmer",https://en-word.net/id/oewn-06949397-n,,a family of languages spoken in southern and southeastern Asia,,None,FALSE,https://www.wikidata.org/wiki/Q33199
Munda,https://en-word.net/id/oewn-06949600-n,https://www.wikidata.org/entity/Q33892,a family of languages spoken by people scattered throughout central India,"language family, subclass of Austroasiatic language family",Multiple,TRUE,
Munda,https://en-word.net/id/oewn-06949600-n,https://www.wikidata.org/entity/Q36264959,a family of languages spoken by people scattered throughout central India,,Multiple,FALSE,
Mon-Khmer,https://en-word.net/id/oewn-06949725-n,https://www.wikidata.org/entity/Q337657,a branch of the Austro-Asiatic languages,language family,Exact,TRUE,
"Vietnamese, Annamese, Annamite, Annamite language, Vietnamese language, Annamese language",https://en-word.net/id/oewn-06950006-n,https://www.wikidata.org/entity/Q9199,the Mon-Khmer language spoken in Vietnam,Austroasiatic language originating in Vietnam,Exact,TRUE,
"Khmer, Khmer language",https://en-word.net/id/oewn-06950125-n,https://www.wikidata.org/entity/Q9205,the Mon-Khmer language spoken in Cambodia,Austroasiatic language of Cambodia,Exact,TRUE,
"Mon, Mon language",https://en-word.net/id/oewn-06950218-n,https://www.wikidata.org/entity/Q13349,the Mon-Khmer language spoken by the Mon,Austroasiatic language spoken by the Mon in Myanmar and Thailand,Exact,TRUE,
"Hmong, Hmong language, Miao, Miao language",https://en-word.net/id/oewn-06949875-n,https://www.wikidata.org/entity/Q9040772,a language of uncertain affiliation spoken by the Hmong,language family of China and Southeast Asia,Multiple,FALSE,https://www.wikidata.org/wiki/Q3307894
"Hmong, Hmong language, Miao, Miao language",https://en-word.net/id/oewn-06949875-n,https://www.wikidata.org/entity/Q33813,a language of uncertain affiliation spoken by the Hmong,language,Multiple,FALSE,
"Hmong, Hmong language, Miao, Miao language",https://en-word.net/id/oewn-06949875-n,https://www.wikidata.org/entity/Q3307894,a language of uncertain affiliation spoken by the Hmong,West Hmongic dialect continuum,Multiple,FALSE,
"Austronesian, Austronesian language",https://en-word.net/id/oewn-06950308-n,https://www.wikidata.org/entity/Q49228,the family of languages spoken in Australia and Formosa and Malaysia and Polynesia,large language family mostly of Southeast Asia and the Pacific,Exact,TRUE,
"Malayo-Polynesian, Polynesian",https://en-word.net/id/oewn-06950545-n,https://www.wikidata.org/entity/Q390979,the branch of the Austronesian languages spoken from Madagascar to the central Pacific,language family,Multiple,FALSE,
"Malayo-Polynesian, Polynesian",https://en-word.net/id/oewn-06950545-n,https://www.wikidata.org/entity/Q10958896,the branch of the Austronesian languages spoken from Madagascar to the central Pacific,language of French Polynesia,Multiple,FALSE,
"Malayo-Polynesian, Polynesian",https://en-word.net/id/oewn-06950545-n,https://www.wikidata.org/entity/Q143158,the branch of the Austronesian languages spoken from Madagascar to the central Pacific,major subgroup of the Austronesian language family,Multiple,TRUE,
"Oceanic, Eastern Malayo-Polynesian",https://en-word.net/id/oewn-06950762-n,https://www.wikidata.org/entity/Q940966,an eastern subfamily of Malayo-Polynesian languages,language family,Multiple,TRUE,
"Oceanic, Eastern Malayo-Polynesian",https://en-word.net/id/oewn-06950762-n,https://www.wikidata.org/entity/Q324457,an eastern subfamily of Malayo-Polynesian languages,subgroup of the Austronesian language family,Multiple,FALSE,
"Tahitian, Tahitian language",https://en-word.net/id/oewn-06951071-n,https://www.wikidata.org/entity/Q34128,the Oceanic language spoken on Tahiti,language of French Polynesia without official language status,Exact,TRUE,
"Maori, Maori language",https://en-word.net/id/oewn-06951163-n,https://www.wikidata.org/entity/Q36451,the Oceanic language spoken by the Maori in New Zealand,Polynesian language spoken in New Zealand,Exact,TRUE,
"Hawaiian, Hawaiian language",https://en-word.net/id/oewn-06951270-n,https://www.wikidata.org/entity/Q33569,the Oceanic languages spoken on Hawaii,Polynesian language,Exact,TRUE,
"Fijian, Fijian language",https://en-word.net/id/oewn-06951400-n,https://www.wikidata.org/entity/Q33295,the Oceanic language spoken on Fiji,Austronesian language of the Malayo-Polynesian family spoken in Fiji,Exact,TRUE,
"Tongan, Tongan language",https://en-word.net/id/oewn-06950967-n,https://www.wikidata.org/entity/Q34094,the Polynesian language spoken by the Tongan people,Polynesian language,Exact,TRUE,
Western Malayo-Polynesian,https://en-word.net/id/oewn-06951506-n,https://www.wikidata.org/entity/Q2699398,a western subfamily of Malayo-Polynesian languages,paraphyletic grouping of Austronesian languages,Exact,TRUE,
Malay,https://en-word.net/id/oewn-06951664-n,https://www.wikidata.org/entity/Q9237,a western subfamily of Western Malayo-Polynesian languages,Austronesian language; language which is the basis for Malaysian Malay and Indonesian and encompasses other dialects; macrolanguage with code ms & msa,Multiple,TRUE,
Malay,https://en-word.net/id/oewn-06951664-n,https://www.wikidata.org/entity/Q12636082,a western subfamily of Western Malayo-Polynesian languages,"colloquial variety of the Malay language spoken in Malaysia, Indonesia, Singapore and Brunei",Multiple,TRUE,
"Malaysian, Bahasa Malaysia, Bahasa Melayu, Bahasa Kebangsaan, Malaysian language, Bahasa Melayu language, Bahasa Kebangsaan language, Bahasa Malaysia language",https://en-word.net/id/oewn-06951828-n,https://www.wikidata.org/entity/Q1089151,the Malay language spoken in Malaysia or neighbouring countries,creole formed from the mix of Sinhala and Tamil with Malay,Exact,FALSE,https://www.wikidata.org/wiki/Q15065
"Indonesian, Bahasa Indonesia, Bahasa",https://en-word.net/id/oewn-06951975-n,https://www.wikidata.org/entity/Q9240,the dialect of Malay used as the national language of the Republic of Indonesia or of Malaysia,official language of Indonesia,Exact,TRUE,
"Javanese, Javanese language",https://en-word.net/id/oewn-06952208-n,https://www.wikidata.org/entity/Q33549,the Indonesian language spoken on Java,Austronesian language,Exact,TRUE,
"Sundanese, Sundanese language",https://en-word.net/id/oewn-06952319-n,https://www.wikidata.org/entity/Q34002,the Indonesian language spoken on West Java,language spoken in Indonesia,Exact,TRUE,
"Balinese, Balinese language",https://en-word.net/id/oewn-06952418-n,https://www.wikidata.org/entity/Q33070,the Indonesian language of the people of Bali,Malayo-Polynesian language spoken on the island of Bali,Exact,TRUE,
"Philippine, Filipino, Filipino language, Philippine language",https://en-word.net/id/oewn-06952518-n,https://www.wikidata.org/entity/Q947858,official language of the Philippines; based on Tagalog; draws its lexicon from other Philippine languages,language family,Multiple,FALSE,
"Philippine, Filipino, Filipino language, Philippine language",https://en-word.net/id/oewn-06952518-n,https://www.wikidata.org/entity/Q33298,official language of the Philippines; based on Tagalog; draws its lexicon from other Philippine languages,national and official language of the Philippines,Multiple,TRUE,
"Tagalog, Tagalog language",https://en-word.net/id/oewn-06952763-n,https://www.wikidata.org/entity/Q34057,the language of the Tagalog on which Filipino is based,Austronesian language spoken as a first language by the ethnic Tagalog people,Exact,TRUE,
"Cebuan, Cebuano, Cebuan language, Cebuano language",https://en-word.net/id/oewn-06952871-n,https://www.wikidata.org/entity/Q33239,language of the people of Cebu in the Philippines; its lexicon contributes to the official language of the Philippines,Austronesian language spoken in the Philippines by Cebuanos and other ethnic groups,Exact,TRUE,
"Australian, Aboriginal Australian, Australian language, Aboriginal Australian language",https://en-word.net/id/oewn-06953052-n,,the Austronesian languages spoken by Australian aborigines,,None,FALSE,Doesn't exist - Pama Nyungan fits but is not Austronesian
"Dyirbal, Jirrbal, Jirrbal language, Dyirbal language",https://en-word.net/id/oewn-06953264-n,https://www.wikidata.org/entity/Q35465,"a language of Australian aborigines, spoken in northeast Queensland",indigenous Australian language,Exact,TRUE,
"Walbiri, Warlpiri, Warlpiri language, Walbiri language",https://en-word.net/id/oewn-06953363-n,https://www.wikidata.org/entity/Q1639998,"a language of Australian aborigines, spoken in Australia's Northern Territory",language,Exact,TRUE,
"Formosan, Formosan language",https://en-word.net/id/oewn-06953463-n,https://www.wikidata.org/entity/Q715278,the Austronesian languages spoken on Formosa,geographic grouping of languages spoken by Taiwanese Aborigines,Exact,TRUE,
"Tayalic, Atayalic, Atayalic language, Tayalic language",https://en-word.net/id/oewn-06953616-n,https://www.wikidata.org/entity/Q716610,a language spoken by a Malaysian people on Formosa,Austronesian language group of Taiwan,Exact,TRUE,
"Tsouic, Tsouic language",https://en-word.net/id/oewn-06953731-n,https://www.wikidata.org/entity/Q716659,"a group of Formosan languages comprising Tsou, Kanakanabu and Saaroa",language family,Exact,TRUE,
"Paiwanic, Paiwanic language",https://en-word.net/id/oewn-06953803-n,https://www.wikidata.org/entity/Q11078043,a Formosan language spoken by the Paiwan people in Taiwan,language family among Formosan languages,Exact,TRUE,
"Papuan, Papuan language",https://en-word.net/id/oewn-06953877-n,https://www.wikidata.org/entity/Q236425,any of the indigenous languages spoken in Papua New Guinea or New Britain or the Solomon Islands that are not Malayo-Polynesian languages,non-Austronesian languages of New Guinea and adjacent islands,Exact,TRUE,
"Khoisan, Khoisan language",https://en-word.net/id/oewn-06954103-n,https://www.wikidata.org/entity/Q33614,a family of languages spoken in southern Africa,group of African language families with click consonants,Exact,TRUE,
"Khoikhoin, Khoikhoi, Hottentot, Khoikhoi language, Hottentot language, Khoikhoin language",https://en-word.net/id/oewn-06954241-n,https://www.wikidata.org/entity/Q13301,any of the Khoisan languages spoken by the pastoral people of Namibia and South Africa,Khoe language spoken in southern Africa,Exact,TRUE,
"Indo-European, Indo-European language, Indo-Hittite",https://en-word.net/id/oewn-06954406-n,https://www.wikidata.org/entity/Q19860,the family of languages that by 1000 BC were spoken throughout Europe and in parts of southwestern and southern Asia,"language family native to western and southern Eurasia— Europe, Iran and India",Exact,TRUE,
"Proto-Indo European, PIE, Proto-Indo European language",https://en-word.net/id/oewn-06954856-n,,a prehistoric unrecorded language that was the ancestor of all Indo-European languages,,None,FALSE,https://www.wikidata.org/wiki/Q37178
"Albanian, Albanian language",https://en-word.net/id/oewn-06955014-n,https://www.wikidata.org/entity/Q8748,the Indo-European language spoken by the people of Albania,"Indo-European language, spoken in Albania, Kosovo, North Macedonia and Montenegro as well as Italy, Croatia, Romania and Sebia",Multiple,TRUE,
"Albanian, Albanian language",https://en-word.net/id/oewn-06955014-n,https://www.wikidata.org/entity/Q12626698,the Indo-European language spoken by the people of Albania,branch of Indo-European language family,Multiple,FALSE,
"Gheg, Gheg dialect",https://en-word.net/id/oewn-06955181-n,https://www.wikidata.org/entity/Q181037,the dialect of Albanian spoken in northern Albania and Yugoslavia,one of the two major varieties of Albanian,Exact,TRUE,
"Tosk, Tosk dialect",https://en-word.net/id/oewn-06955312-n,https://www.wikidata.org/entity/Q180937,the dialect of Albanian spoken in southern Albania and in areas of Greece and Italy,southern group of dialects of the Albanian language,Exact,TRUE,
"Armenian, Armenian language",https://en-word.net/id/oewn-06955461-n,https://www.wikidata.org/entity/Q8785,"the Indo-European language spoken predominantly in Armenia, but also in Azerbaijan",Indo-European language,Exact,TRUE,
Illyrian,https://en-word.net/id/oewn-06955636-n,https://www.wikidata.org/entity/Q1658937,a minor and almost extinct branch of the Indo-European languages; spoken along the Dalmatian coast,word used for South Slavic language in 17th to 19th century,Multiple,FALSE,
Illyrian,https://en-word.net/id/oewn-06955636-n,https://www.wikidata.org/entity/Q35976,a minor and almost extinct branch of the Indo-European languages; spoken along the Dalmatian coast,language or group of languages,Multiple,TRUE,
Thraco-Phrygian,https://en-word.net/id/oewn-06955789-n,,an extinct branch of the Indo-European language family thought by some to be related to Armenian,,None,FALSE,Doesn't exist
"Thracian, Thracian language",https://en-word.net/id/oewn-06955983-n,https://www.wikidata.org/entity/Q36793,a Thraco-Phrygian language spoken by the ancient people of Thrace but extinct by the early Middle Ages,extinct Indo-European language,Exact,TRUE,
"Phrygian, Phrygian language",https://en-word.net/id/oewn-06956140-n,https://www.wikidata.org/entity/Q36751,a Thraco-Phrygian language spoken by the ancient inhabitants of Phrygia and now extinct — preserved only in a few inscriptions,dialect of Indo-European language spoken by the Phrygians,Exact,TRUE,
"Balto-Slavic, Balto-Slavic language, Balto-Slavonic",https://en-word.net/id/oewn-06956320-n,https://www.wikidata.org/entity/Q147356,a family of Indo-European languages including the Slavic and Baltic languages,branch of the Indo-European language family,Exact,TRUE,
"Slavic, Slavic language, Slavonic, Slavonic language",https://en-word.net/id/oewn-06956533-n,https://www.wikidata.org/entity/Q33251,a branch of the Indo-European family of languages,language of the Slavic Orthodox liturgy,Multiple,FALSE,
"Slavic, Slavic language, Slavonic, Slavonic language",https://en-word.net/id/oewn-06956533-n,https://www.wikidata.org/entity/Q23526,a branch of the Indo-European family of languages,subfamily of Indo-European languages,Multiple,TRUE,
"Old Church Slavonic, Old Church Slavic, Church Slavic, Old Bulgarian, Old Bulgarian language, Church Slavic language, Old Church Slavic language, Old Church Slavonic language",https://en-word.net/id/oewn-06956918-n,https://www.wikidata.org/entity/Q35499,the Slavic language into which the Bible was translated in the 9th century,"medieval Slavic literary language, without ISO codes, preceding Church Slavonic (Q33251, cu, chu)",Multiple,FALSE,
"Old Church Slavonic, Old Church Slavic, Church Slavic, Old Bulgarian, Old Bulgarian language, Church Slavic language, Old Church Slavic language, Old Church Slavonic language",https://en-word.net/id/oewn-06956918-n,https://www.wikidata.org/entity/Q33251,the Slavic language into which the Bible was translated in the 9th century,language of the Slavic Orthodox liturgy,Multiple,TRUE,
"Russian, Russian language",https://en-word.net/id/oewn-06957110-n,https://www.wikidata.org/entity/Q7737,the Slavic language that is the official language of Russia,East Slavic language,Exact,TRUE,
"Belarusian, Byelorussian, White Russian, Belarusian language, Byelorussian language, White Russian language",https://en-word.net/id/oewn-06957242-n,https://www.wikidata.org/entity/Q9091,the Slavic language spoken in Belarus,East Slavic language,Exact,TRUE,
"Ukrainian, Ukrainian language",https://en-word.net/id/oewn-06957385-n,https://www.wikidata.org/entity/Q8798,the Slavic language spoken in the Ukraine,East Slavic language,Exact,TRUE,
"Polish, Polish language",https://en-word.net/id/oewn-06957482-n,https://www.wikidata.org/entity/Q809,the Slavic language of Poland,West Slavic language,Exact,TRUE,
"Slovak, Slovak language",https://en-word.net/id/oewn-06957582-n,https://www.wikidata.org/entity/Q9058,the Slavic language spoken in Slovakia,West Slavic language spoken in Slovakia,Exact,TRUE,
"Czech, Czech language",https://en-word.net/id/oewn-06957673-n,https://www.wikidata.org/entity/Q9056,the Slavic language of Czechs,West Slavic language,Exact,TRUE,
"Slovene, Slovene language",https://en-word.net/id/oewn-06957772-n,https://www.wikidata.org/entity/Q9063,the Slavic language of Slovenes,South Slavic language spoken primarily in Slovenia,Exact,TRUE,
"Serbo-Croat, Serbo-Croatian",https://en-word.net/id/oewn-06957857-n,https://www.wikidata.org/entity/Q9301,the Slavic language of the Serbs and Croats; the Serbian dialect is usually written in the Cyrillic alphabet and the Croatian dialect is usually written in the Roman alphabet,South Slavic language,Exact,TRUE,
"Sorbian, Lusatian, Sorbian language, Lusatian language",https://en-word.net/id/oewn-06958106-n,https://www.wikidata.org/entity/Q25442,a Slavonic language spoken in rural area of southeastern Germany,two languages spoken by the Sorbs,Exact,TRUE,
"Macedonian, Macedonian language",https://en-word.net/id/oewn-06958235-n,https://www.wikidata.org/entity/Q9296,the Slavic language of modern Macedonia,South Slavic language mostly spoken in North Macedonia and its neighbouring countries,Exact,TRUE,
"Bulgarian, Bulgarian language",https://en-word.net/id/oewn-06958331-n,https://www.wikidata.org/entity/Q7918,a Slavic language spoken in Bulgaria,South Slavic language,Exact,TRUE,
"Baltic, Baltic language",https://en-word.net/id/oewn-06958441-n,https://www.wikidata.org/entity/Q33136,a branch of the Indo-European family of languages related to the Slavonic languages; Baltic languages have preserved many archaic features that are believed to have existed in Proto-Indo European,branch of the Indo-European language family,Exact,TRUE,
