SSID,Existing QID,New QID,WordNet Definition,Existing Wikidata Description,New Wikidata Description,Accept Existing,Accept New,
https://en-word.net/id/oewn-12558074-n,http://www.wikidata.org/entity/Q3712638,http://www.wikidata.org/entity/Q1077410,perennial twining vine of Old World tropics having trifoliate leaves and racemes of fragrant purple pea-like flowers followed by maroon pods of edible seeds; grown as an ornamental and as a vegetable on the Indian subcontinent; sometimes placed in genus Dolichos,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12649466-n,http://www.wikidata.org/entity/Q3002196,http://www.wikidata.org/entity/Q1133411,American red-fruited hawthorn with dense corymbs of pink-red flowers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12494923-n,http://www.wikidata.org/entity/Q7226448,http://www.wikidata.org/entity/Q4117736,North American perennial herb with smooth foliage and drooping tubular greenish flowers,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12674197-n,http://www.wikidata.org/entity/Q7376203,http://www.wikidata.org/entity/Q7376205,stout-stemmed trailing shrub of New Zealand that scrambles over other growth,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-11792393-n,http://www.wikidata.org/entity/Q934636,http://www.wikidata.org/entity/Q10909868,very large closely branched South African shrub having forked bright green spines and shiny leaves,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02493442-n,http://www.wikidata.org/entity/Q244361,http://www.wikidata.org/entity/Q14850405,the smallest monkey; of tropical forests of the Amazon,species of mammal,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-12002811-n,http://www.wikidata.org/entity/Q8051739,http://www.wikidata.org/entity/Q25362844,European hawkweed introduced into northeastern United States; locally troublesome weeds,species of plant,subspecies of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12002811-n,http://www.wikidata.org/entity/Q8051739,http://www.wikidata.org/entity/Q15575765,European hawkweed introduced into northeastern United States; locally troublesome weeds,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12388774-n,http://www.wikidata.org/entity/Q1041898,http://www.wikidata.org/entity/Q93430535,perennial shrub having large star-shaped yellow flowers in narrowly pyramidal cymes,species of plant,,TRUE,TRUE,
https://en-word.net/id/oewn-12388774-n,http://www.wikidata.org/entity/Q1041898,http://www.wikidata.org/entity/Q39029102,perennial shrub having large star-shaped yellow flowers in narrowly pyramidal cymes,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01830737-n,http://www.wikidata.org/entity/Q736052,http://www.wikidata.org/entity/Q41214407,greyish-blue North American kingfisher with a chestnut band on its chest,species of bird,species of bird,TRUE,TRUE,
https://en-word.net/id/oewn-12357244-n,http://www.wikidata.org/entity/Q2165298,http://www.wikidata.org/entity/Q50835432,small to medium-sized tree of Australia and Tasmania having smooth white to light-grey bark shedding in patches or strips,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01859021-n,http://www.wikidata.org/entity/Q386047,http://www.wikidata.org/entity/Q31354,very large wild goose of northeast Asia; interbreeds freely with the greylag,breed of domesticated goose,species of bird,FALSE,TRUE,
https://en-word.net/id/oewn-12391956-n,http://www.wikidata.org/entity/Q343300,http://www.wikidata.org/entity/Q163522,climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12684948-n,http://www.wikidata.org/entity/Q3091779,http://www.wikidata.org/entity/Q5120189,Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers; cultivated for its medicinal bark,Species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12371608-n,http://www.wikidata.org/entity/Q163559,http://www.wikidata.org/entity/Q15250761,canna grown especially for its edible rootstock from which arrowroot starch is obtained,species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-12684948-n,http://www.wikidata.org/entity/Q3091779,http://www.wikidata.org/entity/Q15399753,Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers; cultivated for its medicinal bark,Species of plant,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-02086723-n,http://www.wikidata.org/entity/Q144,http://www.wikidata.org/entity/Q26972265,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,domestic animal,subspecies of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-02086723-n,http://www.wikidata.org/entity/Q144,http://www.wikidata.org/entity/Q20717272,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,domestic animal,species of mammal,TRUE,TRUE,
https://en-word.net/id/oewn-12024283-n,http://www.wikidata.org/entity/Q159107,http://www.wikidata.org/entity/Q20757547,European hawkweed having flower heads with bright orange-red rays; a troublesome weed especially as naturalized in northeastern North America; sometimes placed in genus Hieracium,species of plants,species of plant,TRUE,TRUE,
https://en-word.net/id/oewn-01734582-n,http://www.wikidata.org/entity/Q2135031,http://www.wikidata.org/entity/Q26849100,a whipsnake of scrublands and rocky hillsides,species of reptile,species of reptile,TRUE,TRUE,
https://en-word.net/id/oewn-02029729-n,http://www.wikidata.org/entity/Q389691,http://www.wikidata.org/entity/Q50407542,common North American sandpiper,species of bird,species of wader,TRUE,FALSE,
